main_class,sub_class,count
C08L,69/00,766
C08L,63/00,761
C08J,5/24,447
C08K,5/00,435
C08G,18/48,415
C08L,101/00,363
C08K,3/00,335
C09J,163/00,334
C08G,18/76,334
C08G,59/50,315
C08K,3/22,306
C09D,163/00,305
C09D,7/12,279
C08G,18/32,279
B32B,27/30,277
C08J,5/18,276
C08L,67/02,256
C08G,18/42,249
G02B,1/04,235
C08G,59/40,234
C08G,18/10,228
C09D,175/04,226
C08J,5/04,226
C09D,11/00,216
A61Q,19/00,215
B41M,5/00,215
B32B,27/36,215
A61Q,17/04,213
C08K,3/04,210
C09J,7/02,208
C08J,7/04,197
C08L,77/00,196
C08G,18/75,192
B32B,27/00,192
C08G,18/08,190
C09D,5/00,189
B60C,1/00,180
C09D,11/101,175
C08L,67/00,174
C09J,11/06,172
C10M,169/04,172
B41J,2/01,170
G03F,7/004,170
C08G,18/79,168
C08G,18/66,161
A61K,8/81,160
C08K,3/36,158
C08G,18/28,158
C08L,75/04,158
C08F,290/06,158
A61K,8/34,156
C09J,175/04,156
C08J,5/00,155
C08G,18/12,154
C10N,30/06,154
C08G,59/18,150
C10N,40/25,149
C08F,2/44,147
C08L,77/06,147
B32B,15/08,147
C03C,27/12,146
H05K,1/03,146
B32B,27/18,143
A61K,8/49,139
C08G,18/67,139
C08K,7/14,136
C08K,5/13,135
A61K,6/083,134
C08L,83/04,133
C08G,73/10,133
C08L,23/08,130
C08K,3/34,130
C08G,59/68,125
C08G,18/40,125
C08J,3/24,123
C09K,3/10,123
C08L,71/12,120
C08L,79/08,120
C08G,59/42,119
C08J,9/00,118
C08L,23/00,117
C08L,51/04,116
B32B,17/10,116
C08G,18/00,115
B32B,27/08,114
G02B,5/30,113
C09D,11/10,113
C10N,30/00,112
C09D,11/30,112
C08K,5/3492,112
A61K,8/37,111
B29C,67/00,110
C08G,18/38,110
C08G,64/30,109
C08K,5/521,108
C08L,71/02,106
C09J,7/00,106
H01L,23/29,105
C08L,83/10,105
C09D,4/00,105
C09D,167/00,105
A61K,6/00,105
C10N,20/02,104
C09J,11/04,104
C08G,18/44,104
B32B,27/40,104
B32B,27/32,104
C08G,18/80,102
C09D,11/38,100
A61K,8/02,100
C08G,18/22,100
B32B,7/12,100
C09D,201/00,98
B32B,7/02,97
G03F,7/00,97
C09D,5/02,95
C09K,5/04,95
C08G,59/62,93
A61Q,5/00,92
A61K,8/06,92
C09D,11/322,92
C08G,64/18,90
C08G,59/24,90
C08K,5/5313,90
C08K,5/098,89
C08L,9/00,88
C08G,18/24,87
C08G,101/00,86
C08F,220/18,86
C08K,5/17,86
C08G,18/73,85
B33Y,70/00,85
H01L,23/31,84
H01B,3/44,84
C08L,53/02,84
A61Q,5/06,84
G03G,9/087,84
C08F,2/50,83
C08L,55/02,82
C09K,3/00,82
A61P,35/00,82
C08L,21/00,80
B32B,27/20,80
C08G,59/56,79
C08G,59/32,79
C08G,65/40,79
C09D,5/08,78
C08K,5/49,78
B32B,27/38,77
C09J,201/00,76
C08L,67/04,76
C08K,5/42,76
C10N,40/04,75
A61Q,19/08,75
C09D,183/04,74
C08G,18/72,74
B33Y,10/00,74
C08L,27/12,74
B32B,27/34,74
C08G,18/50,73
G03F,7/038,73
C08J,3/12,73
C08K,3/08,72
C08J,3/20,72
A61K,8/73,71
C08K,9/04,71
C08K,5/14,71
C10N,40/30,71
H01L,51/50,70
C08G,77/448,70
C08J,3/22,70
C08K,3/38,70
C08L,77/02,69
C09J,133/00,69
C08K,3/32,69
A61K,9/00,69
B32B,27/28,68
C08G,64/02,68
B05D,7/24,68
C09D,5/03,67
C08G,18/18,67
C09J,5/06,66
C10N,10/04,66
C10N,20/00,66
C08L,23/06,65
A61Q,5/12,65
B29C,45/00,64
C09J,4/00,64
C08L,81/06,64
C08K,5/09,63
C08L,27/18,63
A61K,8/41,63
C08G,18/62,62
C08F,265/06,62
C10N,30/10,62
C08L,33/04,62
C08K,7/02,62
A61K,8/97,61
C08K,5/5399,61
C08L,33/06,61
C08L,71/00,61
C09K,9/02,61
C09K,21/12,61
C08G,59/20,60
C08F,2/48,60
C09D,5/44,60
A61K,8/35,60
C10N,20/04,60
C08G,59/22,59
C09D,4/02,59
A61K,8/60,58
H01M,8/10,58
C08K,5/103,58
C08K,5/523,58
C08G,64/04,58
C08L,81/02,58
C08G,69/26,58
G02B,5/20,58
C09K,19/04,57
C09D,133/06,57
C08G,63/91,56
C07F,7/18,56
H01B,1/22,55
C08L,7/00,55
C08L,79/04,55
C09D,175/16,55
A61K,8/44,55
C08J,9/12,55
C08J,5/06,55
C08G,59/00,54
C09D,175/06,54
C08J,9/14,54
C09K,19/30,54
C09J,4/06,54
C12Q,1/68,54
C09D,133/00,54
C08L,33/08,53
C09J,175/06,53
G03F,7/075,53
A61K,8/46,53
C08K,5/053,53
A61K,8/11,53
C10N,40/02,53
H01M,4/62,53
C08K,5/524,53
C10M,145/14,53
C08K,9/06,52
C08G,18/20,52
C09K,11/02,52
G02B,5/22,52
C08G,65/00,51
C08G,65/26,51
C09J,175/08,51
C09J,9/02,51
A61K,8/92,51
H01L,21/027,51
C10M,101/02,51
B60J,1/00,51
C09K,19/12,51
B41M,5/333,50
B32B,27/12,50
C08K,3/26,50
A61K,8/87,50
C10N,30/02,50
C08L,29/14,49
B05D,7/14,49
A61K,8/891,49
C08F,222/10,49
C08G,75/23,49
H01L,31/042,49
C09D,5/18,48
C09J,133/08,48
